resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
86396.4219,308.695,4,46778.3477,308.991,266758.75,309.77,No3_4
85881.2656,310.096,4,47168.7656,310.392,259816.547,311.1,No3_4
84105.9297,311.439,4,46367.7773,311.768,259815.844,312.5,No3_4
84698.0078,312.825,4,44785.5937,313.121,259845.438,313.838,No3_4
84321.3438,314.163,4,47008.4258,314.528,258911.844,315.237,No3_4
84272.8047,315.563,4,44863.0273,315.859,263286.719,316.564,No3_4
83167.9531,316.898,4,47229.7891,317.228,266297.406,317.97,No3_4
83221.1016,318.295,4,46106.1992,318.591,259468.031,319.314,No3_4
83797,319.639,4,44850.9336,319.936,262574.75,320.712,No3_4
83347.1719,321.037,4,44952.207,321.333,263831.531,322.04,No3_4
84641.1641,322.378,4,46063.6719,322.708,260147.016,323.456,No3_4
86636.125,323.781,4,46144.8438,324.078,266994.875,324.82,No3_4
85216.5937,325.146,4,47118.1875,325.442,260106.734,326.154,No3_4
84780.5313,326.547,4,46749.2344,326.843,265892.719,327.561,No3_4
84416.6328,327.886,4,46554.1055,328.182,262938.219,328.964,No3_4
83430.4688,329.29,4,44977.0156,329.587,264584.031,330.294,No3_4
85083.875,330.632,4,45951.2227,330.962,262539.188,331.701,No3_4
83310.5,332.026,4,44984.9102,332.326,258209.125,333.047,No3_4
86388.2266,333.372,4,47194.3516,333.735,265524.469,334.452,No3_4
85978.8984,334.777,4,46180.8867,335.078,263218.156,335.868,No3_4
86910.0234,336.193,4,47013.0156,336.494,261624.984,337.206,No3_4
86694.8516,337.533,4,44987.8594,337.901,265665.125,338.61,No3_4
84501.0469,338.957,4,46347.3281,339.286,265145.906,340.028,No3_4
86603.3203,340.352,4,46716.8633,340.652,257008.297,341.36,No3_4
85457.8516,341.684,4,46683.9766,342.051,264167.687,342.77,No3_4
84437.1641,343.094,4,45428.5352,343.394,263656.281,344.183,No3_4
87177.9219,344.506,4,47065.6172,344.807,258014.703,345.518,No3_4
87129.5703,345.844,4,45113.5391,346.173,261691.125,346.9,No3_4
87261.8359,347.224,4,47285.6172,347.524,264065,348.241,No3_4
86765.0156,348.565,4,47070.1445,348.922,261139.641,349.647,No3_4
83846.2578,349.971,4,45076.1797,350.271,257643.172,351.05,No3_4
84758.8437,351.375,4,46024.2969,351.676,261266.516,352.385,No3_4
83976.625,352.712,4,47129.8008,353.041,258633.938,353.773,No3_4
87210.6016,354.098,4,47316.5156,354.399,261238.766,355.123,No3_4
83670.9609,355.448,4,45115.7266,355.806,256844.969,356.53,No3_4
86622.4766,356.855,4,47019.0469,357.155,263655.594,357.94,No3_4
84625.0547,358.263,4,45568.1055,358.563,264609.375,359.274,No3_4
84437.8047,359.602,4,44992.957,359.903,262560,360.671,No3_4
87181.2734,361.033,4,45183.5742,361.362,256336.609,362.105,No3_4
84935.5859,362.428,4,45988.8672,362.728,258667.625,363.447,No3_4
86890.1094,363.771,4,47003.5742,364.135,262915.875,364.854,No3_4
84280.9922,365.179,4,46166.2539,365.476,264107.937,366.191,No3_4
83829.4453,366.519,4,45149.9453,366.883,259134.641,367.595,No3_4
83897.6094,367.942,4,46893.7422,368.273,254658.344,369.018,No3_4
84644.0781,369.343,4,44966.7422,369.64,256651.25,370.382,No3_4
87159.4766,370.708,4,46602.0078,371.005,255245.828,371.716,No3_4
87290.7734,372.109,4,46681.6836,372.411,258614.281,373.123,No3_4
87229.25,373.449,4,47139.6289,373.746,259818.422,374.522,No3_4
87200.7109,374.848,4,47109.1133,375.144,258009.719,375.851,No3_4
86360.0078,376.189,4,45737.0664,376.519,258270.031,377.26,No3_4
87192.4531,377.586,4,47188.2187,377.883,254967.734,378.597,No3_4
87408.5391,378.923,4,46296.2539,379.219,262554.563,380.005,No3_4
84880.5781,380.33,4,46516.0586,380.627,255060.187,381.33,No3_4
85523.2344,381.668,4,46706.875,381.999,261481.313,382.741,No3_4
85686.1172,383.067,4,47083.5898,383.364,256889.969,384.087,No3_4
83936.9922,384.412,4,45116.7109,384.709,254039.297,385.491,No3_4
86319.5469,385.817,4,45654.1016,386.114,261334.531,386.821,No3_4
87725.0938,387.16,4,44996.418,387.49,253066.766,388.23,No3_4
86496.0234,388.556,4,47123.2969,388.857,252812.859,389.57,No3_4
86207.8047,389.895,4,47384.1016,390.259,252940.422,390.971,No3_4
87368.4453,391.297,4,46096.125,391.593,253570.844,392.305,No3_4
85787.4609,392.633,4,47263.8398,392.958,254113.531,393.691,No3_4
87600.875,394.017,4,46374.8594,394.313,256204.578,395.032,No3_4
87388.2891,395.357,4,46032.5977,395.722,254202.875,396.431,No3_4
87756.8203,396.756,4,47192.8242,397.057,250703.562,397.766,No3_4
87278.7031,398.094,4,47134.9023,398.417,254689.375,399.15,No3_4
87656.3984,399.475,4,47250.0586,399.776,255592.906,400.5,No3_4
84068.3438,400.824,4,45844.8203,401.181,255376.688,401.899,No3_4
83890.1953,402.224,4,45114.9102,402.525,256724.5,403.31,No3_4
87370.8906,403.633,4,47203.5117,403.933,252553.766,404.641,No3_4
85387.1406,404.968,4,46607.4883,405.297,254418.125,406.028,No3_4
87481.4687,406.352,4,47189.3633,406.652,250710.422,407.364,No3_4
85799.9453,407.688,4,47125.2695,408.05,250069.844,408.762,No3_4
85517.8984,409.087,4,46080.7734,409.387,257097.906,410.176,No3_4
84421.6328,410.499,4,45414.8828,410.799,256300.594,411.508,No3_4
86479.5,411.835,4,45285.0977,412.163,258398.063,412.892,No3_4
86113.9609,413.215,4,46724.6172,413.514,250352.469,414.24,No3_4
85659.1797,414.565,4,45243.7695,414.922,253793.922,415.635,No3_4
84422.2734,415.958,4,45140.2344,416.258,258552.141,417.049,No3_4
86808.2734,417.373,4,46756.8555,417.673,249903.406,418.381,No3_4
87654.3125,418.71,4,47370.6641,419.01,250869.281,419.778,No3_4
84220.5547,420.14,4,47510.3008,420.469,250986.375,421.196,No3_4
84274.5937,421.52,4,45232.4297,421.82,250450.109,422.536,No3_4
84329.6641,422.86,4,45105.0664,423.218,253314.531,423.943,No3_4
87437.7578,424.267,4,47313.8281,424.568,254404.875,425.353,No3_4
84179.0703,425.676,4,45100.0664,425.977,254074.141,426.692,No3_4
84390.3594,427.019,4,47185.8555,427.386,248699.281,428.097,No3_4
87444.2969,428.444,4,46096.2227,428.772,249123.172,429.515,No3_4
85017.7578,429.839,4,46156.4766,430.141,253354.375,430.881,No3_4
87806.1875,431.206,4,46634.1602,431.502,254492.359,432.32,No3_4
87596.5156,432.646,4,46961.1016,432.948,252553.766,433.659,No3_4
87653.2344,433.985,4,46156.2969,434.35,255737.75,435.062,No3_4
87392.0625,435.386,4,47319.4922,435.683,249011.516,436.396,No3_4
87514.0469,436.725,4,45478.3086,437.051,256391.828,437.783,No3_4
85554.3516,438.109,4,46903.6797,438.406,254073.172,439.127,No3_4
84173.6484,439.451,4,46154.7656,439.748,254047.828,440.528,No3_4
83932.0781,440.853,4,45419.3867,441.15,249298.391,441.854,No3_4
84263.7422,442.192,4,47329.7969,442.522,249373.797,443.251,No3_4
85147.0078,443.575,4,45101.8867,443.871,252461.047,444.596,No3_4
87881.0937,444.922,4,47160.043,445.22,253358.641,445.996,No3_4
87626.8906,446.322,4,47106.6484,446.624,249384.203,447.331,No3_4
87394.875,447.664,4,45426.8086,447.994,252249.813,448.727,No3_4
84326.5234,449.053,4,45714.9297,449.355,254019.828,450.077,No3_4
87282.3984,450.403,4,45806.6484,450.768,253044.266,451.477,No3_4
87541.0859,451.802,4,46906.7812,452.104,251334.437,452.815,No3_4
87803.6094,453.142,4,45613.7734,453.468,253319.516,454.197,No3_4
87752.7969,454.522,4,47158.4492,454.819,249860.734,455.534,No3_4
87709.5313,455.86,4,46168.3086,456.156,252651.656,456.935,No3_4
87562.3047,457.259,4,46234.1641,457.556,256515.141,458.262,No3_4
87929.8281,458.601,4,45096.0273,458.931,249406.25,459.673,No3_4
87686.6328,459.999,4,46343.793,460.296,255305.312,461.019,No3_4
86484.2188,461.345,4,47073.7305,461.642,256588.141,462.424,No3_4
85057.7969,462.748,4,45704.8633,463.047,256314.313,463.759,No3_4
85541.1484,464.087,4,45183.6602,464.388,257606.891,465.157,No3_4
88045.8516,465.519,4,45327.0625,465.849,256396.359,466.58,No3_4
86709.6016,466.904,4,46397.4102,467.204,250930.187,467.929,No3_4
86078.1016,468.254,4,45339.8984,468.611,248117.484,469.331,No3_4
86450.3672,469.655,4,46412.0547,469.955,257238.469,470.738,No3_4
88083.2891,471.062,4,47131.7852,471.361,249170.828,472.072,No3_4
88147.125,472.4,4,45316.7266,472.73,252942.563,473.462,No3_4
85834.3984,473.785,4,45609.3008,474.086,246234.813,474.81,No3_4
87073.5547,475.135,4,45891.8672,475.492,251049.938,476.214,No3_4
88252.3984,476.538,4,47596.2461,476.838,248344.359,477.63,No3_4
87464.2187,477.955,4,47325.5508,478.256,249968.141,478.964,No3_4
86628.9922,479.293,4,46525.7773,479.593,255888.078,480.358,No3_4
87754.3047,480.72,4,45447.6719,481.049,248477.109,481.789,No3_4
86909.7656,482.113,4,46648.5898,482.413,247968.578,483.125,No3_4
85116.0391,483.449,4,46333.4883,483.811,254862.656,484.534,No3_4
87861.1016,484.857,4,47237.6172,485.158,249847.687,485.944,No3_4
84960.4687,486.268,4,45453.2852,486.568,256128.937,487.276,No3_4
84727.0781,487.603,4,47247.1094,487.933,249337.969,488.666,No3_4
86685.2891,488.99,4,46548.8594,489.29,254330.641,490.01,No3_4
88406.3516,490.334,4,47363.9414,490.692,254279.437,491.417,No3_4
84867.1719,491.742,4,45320.0703,492.042,250495.875,492.823,No3_4
85601.75,493.146,4,45960.4805,493.446,255109.906,494.156,No3_4
84745.9375,494.484,4,47335.7461,494.813,250679.578,495.545,No3_4
87771.3203,495.87,4,46099.3203,496.166,254051.844,496.896,No3_4
84466.5156,497.222,4,45884.8516,497.585,248405.984,498.301,No3_4
86290.7578,498.626,4,46944.8711,498.928,247981.375,499.641,No3_4
86339.8203,499.966,4,45377.8438,500.263,256276.344,501.029,No3_4
87954.5703,501.393,4,45791.3906,501.724,256214.734,502.47,No3_4
86764.25,502.796,4,19949.3828,503.093,39303.1484,503.39,No3_4
19296.0273,503.699,4,15729.2119,504.04,31669.4219,504.37,No3_4
17368.0137,504.665,4,14572.9082,504.98,34252.0469,505.31,No3_4
16517.0996,505.641,4,15192.1719,505.963,34845.0273,506.259,No3_4
16674.3457,506.57,4,16076.9502,506.91,38123.793,507.24,No3_4
12950.0137,507.533,4,11554.5889,507.845,26391.1758,508.185,No3_4
12802.4238,508.515,4,12086.541,508.811,26899.209,509.123,No3_4
13121.3848,509.464,4,14990.6689,509.794,36412.3125,510.092,No3_4
14039.9766,510.403,4,16188.6055,510.732,36545.8086,511.062,No3_4
13676.7725,511.384,4,14742.7139,511.68,36319.0078,511.991,No3_4
14484.9287,512.332,4,15020.2471,512.663,35921.5703,512.968,No3_4
14513.0937,513.267,4,15202.7852,513.604,36150.6758,513.934,No3_4
14113.2998,514.238,4,14920.1064,514.543,36646.4102,514.874,No3_4
14754.5283,515.205,4,14857.0381,515.516,36321.0234,515.822,No3_4
14535.0391,516.132,4,15327.2354,516.474,37406.9805,516.804,No3_4
14281.8135,517.104,4,14920.3145,517.42,38390.6641,517.747,No3_4
14390.3438,518.078,4,14970.7744,518.379,38082.3633,518.685,No3_4
